repayment_id,loan_id,customer_id,amount_due,amount_paid,status,due_date,paid_at,created_at
REP-00000001,LON-0000001,FIN-000001,7323.03,7323.03,paid,2026-01-21,2026-01-22T07:59:20,2026-01-21T07:59:20
REP-00000002,LON-0000001,FIN-000001,7323.03,7323.03,paid,2026-02-20,2026-02-21T07:59:20,2026-02-20T07:59:20
REP-00000003,LON-0000001,FIN-000001,7323.03,7323.03,paid,2026-03-22,2026-03-25T07:59:20,2026-03-22T07:59:20
REP-00000004,LON-0000002,FIN-000003,273.18,273.18,paid,2024-06-27,2024-06-27T22:43:01,2024-06-27T22:43:01
REP-00000005,LON-0000002,FIN-000003,273.18,273.18,paid,2024-07-27,2024-07-29T22:43:01,2024-07-27T22:43:01
REP-00000006,LON-0000002,FIN-000003,273.18,273.18,paid,2024-08-26,2024-08-29T22:43:01,2024-08-26T22:43:01
REP-00000007,LON-0000002,FIN-000003,273.18,273.18,paid,2024-09-25,2024-09-26T22:43:01,2024-09-25T22:43:01
REP-00000008,LON-0000002,FIN-000003,273.18,273.18,paid,2024-10-25,2024-10-28T22:43:01,2024-10-25T22:43:01
REP-00000009,LON-0000002,FIN-000003,273.18,273.18,paid,2024-11-24,2024-11-24T22:43:01,2024-11-24T22:43:01
REP-00000010,LON-0000003,FIN-000004,6253.81,6253.81,paid,2026-05-23,2026-05-25T20:24:42,2026-05-23T20:24:42
REP-00000011,LON-0000003,FIN-000004,6253.81,6253.81,paid,2026-06-22,2026-06-23T20:24:42,2026-06-22T20:24:42
REP-00000012,LON-0000004,FIN-000005,991.94,991.94,late,2024-06-04,2024-06-20T23:23:13,2024-06-04T23:23:13
REP-00000013,LON-0000004,FIN-000005,991.94,991.94,paid,2024-07-04,2024-07-04T23:23:13,2024-07-04T23:23:13
REP-00000014,LON-0000004,FIN-000005,991.94,991.94,late,2024-08-03,2024-08-15T23:23:13,2024-08-03T23:23:13
REP-00000015,LON-0000004,FIN-000005,991.94,991.94,paid,2024-09-02,2024-09-04T23:23:13,2024-09-02T23:23:13
REP-00000016,LON-0000004,FIN-000005,991.94,991.94,late,2024-10-02,2024-10-19T23:23:13,2024-10-02T23:23:13
REP-00000017,LON-0000004,FIN-000005,991.94,0.0,missed,2024-11-01,,2024-11-01T23:23:13
REP-00000018,LON-0000004,FIN-000005,991.94,991.94,paid,2024-12-01,2024-12-02T23:23:13,2024-12-01T23:23:13
REP-00000019,LON-0000004,FIN-000005,991.94,991.94,paid,2024-12-31,2025-01-03T23:23:13,2024-12-31T23:23:13
REP-00000020,LON-0000004,FIN-000005,991.94,0.0,missed,2025-01-30,,2025-01-30T23:23:13
REP-00000021,LON-0000004,FIN-000005,991.94,991.94,paid,2025-03-01,2025-03-04T23:23:13,2025-03-01T23:23:13
REP-00000022,LON-0000004,FIN-000005,991.94,991.94,late,2025-03-31,2025-04-20T23:23:13,2025-03-31T23:23:13
REP-00000023,LON-0000004,FIN-000005,991.94,991.94,paid,2025-04-30,2025-05-01T23:23:13,2025-04-30T23:23:13
REP-00000024,LON-0000004,FIN-000005,991.94,991.94,paid,2025-05-30,2025-05-30T23:23:13,2025-05-30T23:23:13
REP-00000025,LON-0000004,FIN-000005,991.94,991.94,paid,2025-06-29,2025-06-29T23:23:13,2025-06-29T23:23:13
REP-00000026,LON-0000004,FIN-000005,991.94,0.0,missed,2025-07-29,,2025-07-29T23:23:13
REP-00000027,LON-0000004,FIN-000005,991.94,991.94,paid,2025-08-28,2025-08-29T23:23:13,2025-08-28T23:23:13
REP-00000028,LON-0000004,FIN-000005,991.94,991.94,paid,2025-09-27,2025-09-30T23:23:13,2025-09-27T23:23:13
REP-00000029,LON-0000004,FIN-000005,991.94,991.94,paid,2025-10-27,2025-10-29T23:23:13,2025-10-27T23:23:13
REP-00000030,LON-0000004,FIN-000005,991.94,0.0,missed,2025-11-26,,2025-11-26T23:23:13
REP-00000031,LON-0000004,FIN-000005,991.94,0.0,missed,2025-12-26,,2025-12-26T23:23:13
REP-00000032,LON-0000004,FIN-000005,991.94,991.94,paid,2026-01-25,2026-01-28T23:23:13,2026-01-25T23:23:13
REP-00000033,LON-0000004,FIN-000005,991.94,0.0,missed,2026-02-24,,2026-02-24T23:23:13
REP-00000034,LON-0000004,FIN-000005,991.94,991.94,late,2026-03-26,2026-04-05T23:23:13,2026-03-26T23:23:13
REP-00000035,LON-0000004,FIN-000005,991.94,991.94,paid,2026-04-25,2026-04-26T23:23:13,2026-04-25T23:23:13
REP-00000036,LON-0000005,FIN-000007,521.6,521.6,paid,2026-06-09,2026-06-12T16:45:12,2026-06-09T16:45:12
REP-00000037,LON-0000006,FIN-000015,1375.61,1375.61,paid,2026-05-07,2026-05-07T03:40:57,2026-05-07T03:40:57
REP-00000038,LON-0000006,FIN-000015,1375.61,1375.61,paid,2026-06-06,2026-06-09T03:40:57,2026-06-06T03:40:57
REP-00000039,LON-0000007,FIN-000023,448.19,448.19,paid,2025-11-17,2025-11-20T11:15:14,2025-11-17T11:15:14
REP-00000040,LON-0000007,FIN-000023,448.19,448.19,late,2025-12-17,2026-01-14T11:15:14,2025-12-17T11:15:14
REP-00000041,LON-0000007,FIN-000023,448.19,448.19,late,2026-01-16,2026-01-27T11:15:14,2026-01-16T11:15:14
REP-00000042,LON-0000007,FIN-000023,448.19,0.0,missed,2026-02-15,,2026-02-15T11:15:14
REP-00000043,LON-0000007,FIN-000023,448.19,448.19,paid,2026-03-17,2026-03-18T11:15:14,2026-03-17T11:15:14
REP-00000044,LON-0000007,FIN-000023,448.19,448.19,paid,2026-04-16,2026-04-17T11:15:14,2026-04-16T11:15:14
REP-00000045,LON-0000007,FIN-000023,448.19,448.19,late,2026-05-16,2026-05-26T11:15:14,2026-05-16T11:15:14
REP-00000046,LON-0000007,FIN-000023,448.19,448.19,paid,2026-06-15,2026-06-17T11:15:14,2026-06-15T11:15:14
REP-00000047,LON-0000008,FIN-000025,3393.86,3393.86,late,2026-03-16,2026-03-25T14:33:59,2026-03-16T14:33:59
REP-00000048,LON-0000008,FIN-000025,3393.86,0.0,missed,2026-04-15,,2026-04-15T14:33:59
REP-00000049,LON-0000008,FIN-000025,3393.86,3393.86,paid,2026-05-15,2026-05-18T14:33:59,2026-05-15T14:33:59
REP-00000050,LON-0000008,FIN-000025,3393.86,3393.86,paid,2026-06-14,2026-06-14T14:33:59,2026-06-14T14:33:59
REP-00000051,LON-0000009,FIN-000030,249.86,249.86,paid,2025-11-23,2025-11-26T10:39:58,2025-11-23T10:39:58
REP-00000052,LON-0000009,FIN-000030,249.86,249.86,paid,2025-12-23,2025-12-26T10:39:58,2025-12-23T10:39:58
REP-00000053,LON-0000009,FIN-000030,249.86,249.86,paid,2026-01-22,2026-01-23T10:39:58,2026-01-22T10:39:58
REP-00000054,LON-0000009,FIN-000030,249.86,249.86,paid,2026-02-21,2026-02-21T10:39:58,2026-02-21T10:39:58
REP-00000055,LON-0000009,FIN-000030,249.86,249.86,paid,2026-03-23,2026-03-23T10:39:58,2026-03-23T10:39:58
REP-00000056,LON-0000009,FIN-000030,249.86,249.86,paid,2026-04-22,2026-04-23T10:39:58,2026-04-22T10:39:58
REP-00000057,LON-0000010,FIN-000031,1440.78,1440.78,paid,2026-06-15,2026-06-16T02:47:05,2026-06-15T02:47:05
REP-00000058,LON-0000011,FIN-000037,577.03,577.03,paid,2025-08-16,2025-08-18T09:29:32,2025-08-16T09:29:32
REP-00000059,LON-0000011,FIN-000037,577.03,577.03,paid,2025-09-15,2025-09-18T09:29:32,2025-09-15T09:29:32
REP-00000060,LON-0000011,FIN-000037,577.03,577.03,paid,2025-10-15,2025-10-17T09:29:32,2025-10-15T09:29:32
REP-00000061,LON-0000011,FIN-000037,577.03,577.03,paid,2025-11-14,2025-11-14T09:29:32,2025-11-14T09:29:32
REP-00000062,LON-0000011,FIN-000037,577.03,577.03,paid,2025-12-14,2025-12-17T09:29:32,2025-12-14T09:29:32
REP-00000063,LON-0000011,FIN-000037,577.03,577.03,paid,2026-01-13,2026-01-13T09:29:32,2026-01-13T09:29:32
REP-00000064,LON-0000011,FIN-000037,577.03,577.03,late,2026-02-12,2026-03-08T09:29:32,2026-02-12T09:29:32
REP-00000065,LON-0000011,FIN-000037,577.03,577.03,paid,2026-03-14,2026-03-16T09:29:32,2026-03-14T09:29:32
REP-00000066,LON-0000011,FIN-000037,577.03,577.03,paid,2026-04-13,2026-04-15T09:29:32,2026-04-13T09:29:32
REP-00000067,LON-0000011,FIN-000037,577.03,577.03,late,2026-05-13,2026-05-25T09:29:32,2026-05-13T09:29:32
REP-00000068,LON-0000011,FIN-000037,577.03,577.03,paid,2026-06-12,2026-06-12T09:29:32,2026-06-12T09:29:32
REP-00000069,LON-0000012,FIN-000040,15016.84,15016.84,paid,2024-10-02,2024-10-02T00:36:36,2024-10-02T00:36:36
REP-00000070,LON-0000012,FIN-000040,15016.84,15016.84,paid,2024-11-01,2024-11-03T00:36:36,2024-11-01T00:36:36
REP-00000071,LON-0000012,FIN-000040,15016.84,15016.84,paid,2024-12-01,2024-12-04T00:36:36,2024-12-01T00:36:36
REP-00000072,LON-0000013,FIN-000041,998.09,998.09,paid,2026-04-20,2026-04-23T12:57:12,2026-04-20T12:57:12
REP-00000073,LON-0000013,FIN-000041,998.09,998.09,paid,2026-05-20,2026-05-23T12:57:12,2026-05-20T12:57:12
REP-00000074,LON-0000013,FIN-000041,998.09,998.09,paid,2026-06-19,2026-06-20T12:57:12,2026-06-19T12:57:12
REP-00000075,LON-0000014,FIN-000042,36.3,36.3,late,2025-01-11,2025-02-08T06:36:33,2025-01-11T06:36:33
REP-00000076,LON-0000014,FIN-000042,36.3,0.0,missed,2025-02-10,,2025-02-10T06:36:33
REP-00000077,LON-0000014,FIN-000042,36.3,36.3,paid,2025-03-12,2025-03-14T06:36:33,2025-03-12T06:36:33
REP-00000078,LON-0000014,FIN-000042,36.3,36.3,paid,2025-04-11,2025-04-12T06:36:33,2025-04-11T06:36:33
REP-00000079,LON-0000014,FIN-000042,36.3,0.0,missed,2025-05-11,,2025-05-11T06:36:33
REP-00000080,LON-0000014,FIN-000042,36.3,36.3,late,2025-06-10,2025-06-18T06:36:33,2025-06-10T06:36:33
REP-00000081,LON-0000014,FIN-000042,36.3,36.3,late,2025-07-10,2025-08-05T06:36:33,2025-07-10T06:36:33
REP-00000082,LON-0000014,FIN-000042,36.3,36.3,paid,2025-08-09,2025-08-12T06:36:33,2025-08-09T06:36:33
REP-00000083,LON-0000014,FIN-000042,36.3,36.3,late,2025-09-08,2025-10-07T06:36:33,2025-09-08T06:36:33
REP-00000084,LON-0000014,FIN-000042,36.3,36.3,paid,2025-10-08,2025-10-09T06:36:33,2025-10-08T06:36:33
REP-00000085,LON-0000014,FIN-000042,36.3,36.3,paid,2025-11-07,2025-11-08T06:36:33,2025-11-07T06:36:33
REP-00000086,LON-0000014,FIN-000042,36.3,36.3,paid,2025-12-07,2025-12-08T06:36:33,2025-12-07T06:36:33
REP-00000087,LON-0000014,FIN-000042,36.3,36.3,paid,2026-01-06,2026-01-08T06:36:33,2026-01-06T06:36:33
REP-00000088,LON-0000014,FIN-000042,36.3,36.3,paid,2026-02-05,2026-02-06T06:36:33,2026-02-05T06:36:33
REP-00000089,LON-0000014,FIN-000042,36.3,36.3,late,2026-03-07,2026-03-16T06:36:33,2026-03-07T06:36:33
REP-00000090,LON-0000014,FIN-000042,36.3,0.0,missed,2026-04-06,,2026-04-06T06:36:33
REP-00000091,LON-0000014,FIN-000042,36.3,0.0,missed,2026-05-06,,2026-05-06T06:36:33
REP-00000092,LON-0000014,FIN-000042,36.3,36.3,paid,2026-06-05,2026-06-07T06:36:33,2026-06-05T06:36:33
REP-00000093,LON-0000015,FIN-000043,1812.03,1812.03,paid,2025-06-18,2025-06-19T11:49:21,2025-06-18T11:49:21
REP-00000094,LON-0000015,FIN-000043,1812.03,1812.03,paid,2025-07-18,2025-07-18T11:49:21,2025-07-18T11:49:21
REP-00000095,LON-0000015,FIN-000043,1812.03,1812.03,paid,2025-08-17,2025-08-18T11:49:21,2025-08-17T11:49:21
REP-00000096,LON-0000015,FIN-000043,1812.03,1812.03,late,2025-09-16,2025-10-09T11:49:21,2025-09-16T11:49:21
REP-00000097,LON-0000015,FIN-000043,1812.03,0.0,missed,2025-10-16,,2025-10-16T11:49:21
REP-00000098,LON-0000015,FIN-000043,1812.03,0.0,missed,2025-11-15,,2025-11-15T11:49:21
REP-00000099,LON-0000015,FIN-000043,1812.03,1812.03,late,2025-12-15,2026-01-01T11:49:21,2025-12-15T11:49:21
REP-00000100,LON-0000015,FIN-000043,1812.03,0.0,missed,2026-01-14,,2026-01-14T11:49:21
REP-00000101,LON-0000015,FIN-000043,1812.03,1812.03,paid,2026-02-13,2026-02-13T11:49:21,2026-02-13T11:49:21
REP-00000102,LON-0000015,FIN-000043,1812.03,1812.03,paid,2026-03-15,2026-03-16T11:49:21,2026-03-15T11:49:21
REP-00000103,LON-0000015,FIN-000043,1812.03,1812.03,late,2026-04-14,2026-04-24T11:49:21,2026-04-14T11:49:21
REP-00000104,LON-0000015,FIN-000043,1812.03,1812.03,late,2026-05-14,2026-05-23T11:49:21,2026-05-14T11:49:21
REP-00000105,LON-0000015,FIN-000043,1812.03,0.0,missed,2026-06-13,,2026-06-13T11:49:21
REP-00000106,LON-0000016,FIN-000044,1146.24,1146.24,paid,2025-06-18,2025-06-20T00:12:34,2025-06-18T00:12:34
REP-00000107,LON-0000016,FIN-000044,1146.24,1146.24,paid,2025-07-18,2025-07-21T00:12:34,2025-07-18T00:12:34
REP-00000108,LON-0000016,FIN-000044,1146.24,1146.24,paid,2025-08-17,2025-08-17T00:12:34,2025-08-17T00:12:34
REP-00000109,LON-0000016,FIN-000044,1146.24,1146.24,paid,2025-09-16,2025-09-16T00:12:34,2025-09-16T00:12:34
REP-00000110,LON-0000016,FIN-000044,1146.24,1146.24,paid,2025-10-16,2025-10-19T00:12:34,2025-10-16T00:12:34
REP-00000111,LON-0000016,FIN-000044,1146.24,1146.24,paid,2025-11-15,2025-11-15T00:12:34,2025-11-15T00:12:34
REP-00000112,LON-0000016,FIN-000044,1146.24,1146.24,paid,2025-12-15,2025-12-18T00:12:34,2025-12-15T00:12:34
REP-00000113,LON-0000016,FIN-000044,1146.24,1146.24,late,2026-01-14,2026-02-07T00:12:34,2026-01-14T00:12:34
REP-00000114,LON-0000016,FIN-000044,1146.24,1146.24,paid,2026-02-13,2026-02-14T00:12:34,2026-02-13T00:12:34
REP-00000115,LON-0000016,FIN-000044,1146.24,1146.24,paid,2026-03-15,2026-03-15T00:12:34,2026-03-15T00:12:34
REP-00000116,LON-0000016,FIN-000044,1146.24,1146.24,paid,2026-04-14,2026-04-15T00:12:34,2026-04-14T00:12:34
REP-00000117,LON-0000016,FIN-000044,1146.24,1146.24,paid,2026-05-14,2026-05-17T00:12:34,2026-05-14T00:12:34
REP-00000118,LON-0000016,FIN-000044,1146.24,1146.24,paid,2026-06-13,2026-06-15T00:12:34,2026-06-13T00:12:34
REP-00000119,LON-0000017,FIN-000056,1968.67,1968.67,paid,2026-04-17,2026-04-18T20:49:51,2026-04-17T20:49:51
REP-00000120,LON-0000017,FIN-000056,1968.67,0.0,missed,2026-05-17,,2026-05-17T20:49:51
REP-00000121,LON-0000017,FIN-000056,1968.67,1090.39,partial,2026-06-16,2026-06-16T20:49:51,2026-06-16T20:49:51
REP-00000122,LON-0000018,FIN-000073,603.93,603.93,paid,2025-03-02,2025-03-03T23:49:52,2025-03-02T23:49:52
REP-00000123,LON-0000018,FIN-000073,603.93,603.93,paid,2025-04-01,2025-04-03T23:49:52,2025-04-01T23:49:52
REP-00000124,LON-0000018,FIN-000073,603.93,603.93,paid,2025-05-01,2025-05-03T23:49:52,2025-05-01T23:49:52
REP-00000125,LON-0000018,FIN-000073,603.93,603.93,paid,2025-05-31,2025-05-31T23:49:52,2025-05-31T23:49:52
REP-00000126,LON-0000018,FIN-000073,603.93,603.93,paid,2025-06-30,2025-06-30T23:49:52,2025-06-30T23:49:52
REP-00000127,LON-0000018,FIN-000073,603.93,603.93,paid,2025-07-30,2025-08-01T23:49:52,2025-07-30T23:49:52
REP-00000128,LON-0000018,FIN-000073,603.93,603.93,paid,2025-08-29,2025-08-30T23:49:52,2025-08-29T23:49:52
REP-00000129,LON-0000018,FIN-000073,603.93,603.93,paid,2025-09-28,2025-09-29T23:49:52,2025-09-28T23:49:52
REP-00000130,LON-0000018,FIN-000073,603.93,603.93,paid,2025-10-28,2025-10-28T23:49:52,2025-10-28T23:49:52
REP-00000131,LON-0000018,FIN-000073,603.93,603.93,paid,2025-11-27,2025-11-29T23:49:52,2025-11-27T23:49:52
REP-00000132,LON-0000018,FIN-000073,603.93,603.93,paid,2025-12-27,2025-12-28T23:49:52,2025-12-27T23:49:52
REP-00000133,LON-0000018,FIN-000073,603.93,603.93,paid,2026-01-26,2026-01-28T23:49:52,2026-01-26T23:49:52
REP-00000134,LON-0000018,FIN-000073,603.93,603.93,paid,2026-02-25,2026-02-28T23:49:52,2026-02-25T23:49:52
REP-00000135,LON-0000018,FIN-000073,603.93,603.93,paid,2026-03-27,2026-03-30T23:49:52,2026-03-27T23:49:52
REP-00000136,LON-0000018,FIN-000073,603.93,603.93,paid,2026-04-26,2026-04-26T23:49:52,2026-04-26T23:49:52
