payment_id,invoice_id,customer_id,amount_paid,currency,method,status,paid_at,created_at
PAY-00000001,INV-00000001,CUST-00001,30.75,USD,credit_card,success,2026-04-02T00:00:00,2026-04-02T00:00:00
PAY-00000002,INV-00000002,CUST-00001,30.75,USD,bank_transfer,success,2026-05-02T00:00:00,2026-05-02T00:00:00
PAY-00000003,INV-00000003,CUST-00001,30.75,USD,bank_transfer,success,2026-05-24T00:00:00,2026-05-24T00:00:00
PAY-00000004,INV-00000004,CUST-00002,76.37,USD,paypal,success,2023-08-23T00:00:00,2023-08-23T00:00:00
PAY-00000005,INV-00000005,CUST-00002,76.37,USD,paypal,success,2023-09-13T00:00:00,2023-09-13T00:00:00
PAY-00000006,INV-00000006,CUST-00002,76.37,USD,paypal,success,2023-10-27T00:00:00,2023-10-27T00:00:00
PAY-00000007,INV-00000007,CUST-00002,76.37,USD,stripe,success,2023-11-15T00:00:00,2023-11-15T00:00:00
PAY-00000008,INV-00000008,CUST-00002,0.0,USD,bank_transfer,failed,,2023-12-17T00:00:00
PAY-00000009,INV-00000009,CUST-00002,76.37,USD,stripe,success,2024-01-20T00:00:00,2024-01-20T00:00:00
PAY-00000010,INV-00000010,CUST-00002,76.37,USD,paypal,success,2024-02-15T00:00:00,2024-02-15T00:00:00
PAY-00000011,INV-00000011,CUST-00002,76.37,USD,bank_transfer,success,2024-03-13T00:00:00,2024-03-13T00:00:00
PAY-00000012,INV-00000013,CUST-00002,76.37,USD,credit_card,success,2024-05-23T00:00:00,2024-05-23T00:00:00
PAY-00000013,INV-00000014,CUST-00002,76.37,USD,stripe,success,2024-06-21T00:00:00,2024-06-21T00:00:00
PAY-00000014,INV-00000015,CUST-00002,76.37,USD,stripe,success,2024-07-11T00:00:00,2024-07-11T00:00:00
PAY-00000015,INV-00000016,CUST-00002,76.37,USD,bank_transfer,success,2024-08-20T00:00:00,2024-08-20T00:00:00
PAY-00000016,INV-00000017,CUST-00002,76.37,USD,paypal,success,2024-09-11T00:00:00,2024-09-11T00:00:00
PAY-00000017,INV-00000019,CUST-00002,76.37,USD,credit_card,success,2024-11-21T00:00:00,2024-11-21T00:00:00
PAY-00000018,INV-00000020,CUST-00002,76.37,USD,stripe,success,2024-12-20T00:00:00,2024-12-20T00:00:00
