customer_id,company_name,email,industry,country,plan,segment,mrr,arr,customer_since,is_churned,churned_at,created_at,updated_at
CUST-00001,Johnson LLC,jeffreydoyle@yang.com,E-commerce,Canada,starter,SMB,30.75,369.0,2026-03-18,False,,2026-03-18,2026-06-29T14:45:53.295966
CUST-00002,Robinson PLC,hoffmanjennifer@gardner.com,Fintech,South Africa,starter,SMB,76.37,916.44,2023-08-14,False,,2023-08-14,2026-06-29T14:45:53.296564
CUST-00003,"Henderson, Ramirez and Lewis",curtis61@abbott-munoz.com,E-commerce,Nigeria,enterprise,Enterprise,2253.26,27039.12,2024-03-03,True,2025-12-09,2024-03-03,2026-06-29T14:45:53.297108
CUST-00004,"Martinez, Nielsen and Miller",maria95@lee.com,Manufacturing,Netherlands,starter,SMB,68.29,819.48,2025-06-11,False,,2025-06-11,2026-06-29T14:45:53.297669
CUST-00005,Delacruz Group,shawn52@kelly-santiago.com,SaaS,Canada,growth,SMB,278.68,3344.16,2023-10-30,False,,2023-10-30,2026-06-29T14:45:53.298019
CUST-00006,"Jackson, Daniel and Martin",onelson@hawkins.com,Real Estate,United Kingdom,enterprise,Enterprise,4721.0,56652.0,2026-01-30,False,,2026-01-30,2026-06-29T14:45:53.298619
CUST-00007,Trujillo Group,carl95@rios.info,Real Estate,South Africa,starter,SMB,55.59,667.08,2024-06-18,False,,2024-06-18,2026-06-29T14:45:53.298913
CUST-00008,Taylor-Mcgee,julie69@cox-osborn.com,Manufacturing,United Kingdom,business,Mid-Market,1709.69,20516.28,2024-02-05,False,,2024-02-05,2026-06-29T14:45:53.299331
CUST-00009,Davis-Williams,hernandezernest@henderson.info,Consulting,France,enterprise,Enterprise,2629.4,31552.8,2025-08-28,False,,2025-08-28,2026-06-29T14:45:53.299954
CUST-00010,Maddox-Valencia,frazierdanny@potter.com,E-commerce,Germany,growth,SMB,380.83,4569.96,2025-09-27,True,2026-01-16,2025-09-27,2026-06-29T14:45:53.300522
CUST-00011,Chavez Ltd,teresa28@harrell.net,Legal,Kenya,growth,SMB,445.59,5347.08,2025-05-04,False,,2025-05-04,2026-06-29T14:45:53.300819
CUST-00012,Hernandez and Sons,georgetracy@hickman.com,Education,India,business,Mid-Market,742.98,8915.76,2026-01-30,False,,2026-01-30,2026-06-29T14:45:53.301175
CUST-00013,Humphrey Inc,dennislisa@cannon.net,E-commerce,Canada,starter,SMB,71.64,859.68,2023-09-26,False,,2023-09-26,2026-06-29T14:45:53.301663
CUST-00014,Rose-Obrien,sarahcampos@harris.com,Manufacturing,Australia,enterprise,Enterprise,5034.64,60415.68,2024-03-11,False,,2024-03-11,2026-06-29T14:45:53.302218
CUST-00015,"Hayes, Wright and Brown",chapmanjerry@smith.com,E-commerce,United States,business,Mid-Market,1763.28,21159.36,2025-05-09,False,,2025-05-09,2026-06-29T14:45:53.302909
CUST-00016,Whitehead LLC,palmerjoshua@lewis-anderson.org,Consulting,India,business,Mid-Market,1100.75,13209.0,2024-06-18,True,2025-06-05,2024-06-18,2026-06-29T14:45:53.303799
CUST-00017,Sanchez-Kennedy,glee@jordan.com,Legal,Canada,growth,SMB,361.18,4334.16,2025-12-10,False,,2025-12-10,2026-06-29T14:45:53.304469
CUST-00018,"Joyce, Garcia and Powell",lauren13@lee.com,Manufacturing,Germany,business,Mid-Market,708.45,8501.4,2026-05-10,False,,2026-05-10,2026-06-29T14:45:53.305225
CUST-00019,Ramirez and Sons,ramosmichelle@garcia.com,E-commerce,Canada,enterprise,Enterprise,9181.58,110178.96,2025-04-14,False,,2025-04-14,2026-06-29T14:45:53.306264
CUST-00020,Martin Group,zlewis@martin.biz,Fintech,Canada,enterprise,Enterprise,2726.28,32715.36,2023-11-20,True,2025-09-22,2023-11-20,2026-06-29T14:45:53.306825
CUST-00021,Mitchell-Horton,smoore@novak.net,Fintech,Netherlands,growth,SMB,415.83,4989.96,2024-08-13,False,,2024-08-13,2026-06-29T14:45:53.307231
CUST-00022,"Edwards, Williams and Woods",brianromero@jones.com,Education,Nigeria,enterprise,Enterprise,6766.11,81193.32,2023-10-01,False,,2023-10-01,2026-06-29T14:45:53.307736
