response_id,customer_id,score,category,comment,submitted_at,created_at
NPS-0000001,CUST-00001,9,Promoter,Incredible support team. Very responsive.,2026-05-06T01:14:24,2026-05-06T01:14:24
NPS-0000002,CUST-00001,9,Promoter,Game changer for our analytics workflow.,2026-04-04T21:57:36,2026-04-04T21:57:36
NPS-0000003,CUST-00001,5,Detractor,Too expensive for what it offers.,2026-06-09T18:00:21,2026-06-09T18:00:21
NPS-0000004,CUST-00002,4,Detractor,Considering switching to a competitor.,2026-04-10T23:45:54,2026-04-10T23:45:54
NPS-0000005,CUST-00002,5,Detractor,Data sync issues are frustrating.,2026-05-25T12:28:15,2026-05-25T12:28:15
NPS-0000006,CUST-00002,4,Detractor,Considering switching to a competitor.,2026-05-12T14:04:02,2026-05-12T14:04:02
NPS-0000007,CUST-00003,3,Detractor,Support takes too long to respond.,2026-05-18T19:21:06,2026-05-18T19:21:06
NPS-0000008,CUST-00004,6,Detractor,Had major outages last month.,2026-05-29T18:33:04,2026-05-29T18:33:04
NPS-0000009,CUST-00005,9,Promoter,Love the product! Changed how we work.,2026-06-21T20:28:35,2026-06-21T20:28:35
NPS-0000010,CUST-00005,9,Promoter,Love the product! Changed how we work.,2026-05-17T13:08:35,2026-05-17T13:08:35
NPS-0000011,CUST-00006,5,Detractor,Support takes too long to respond.,2026-06-04T14:22:23,2026-06-04T14:22:23
NPS-0000012,CUST-00006,10,Promoter,Saves us hours every week. Worth every penny.,2026-04-13T10:53:52,2026-04-13T10:53:52
NPS-0000013,CUST-00007,10,Promoter,Love the product! Changed how we work.,2026-04-03T07:20:07,2026-04-03T07:20:07
NPS-0000014,CUST-00007,4,Detractor,Support takes too long to respond.,2026-05-30T13:28:26,2026-05-30T13:28:26
NPS-0000015,CUST-00007,1,Detractor,Support takes too long to respond.,2026-04-13T03:39:21,2026-04-13T03:39:21
NPS-0000016,CUST-00008,9,Promoter,Best tool we've used. Highly recommend.,2026-05-04T15:15:16,2026-05-04T15:15:16
