account_id,customer_id,account_type,balance,currency,status,opened_at,created_at,updated_at
ACC-00000001,FIN-000001,business,26148.88,USD,active,2024-07-21T23:32:26,2024-07-21T23:32:26,2026-06-29T14:46:10.588210
ACC-00000002,FIN-000001,current,46081.55,USD,active,2025-10-22T09:02:44,2025-10-22T09:02:44,2026-06-29T14:46:10.588252
ACC-00000003,FIN-000001,business,34520.09,USD,closed,2025-06-17T20:46:10,2025-06-17T20:46:10,2026-06-29T14:46:10.588282
ACC-00000004,FIN-000002,business,23188.32,USD,active,2026-04-05T15:29:04,2026-04-05T15:29:04,2026-06-29T14:46:10.588394
ACC-00000005,FIN-000003,savings,10179.88,USD,active,2023-12-03T22:41:12,2023-12-03T22:41:12,2026-06-29T14:46:10.588486
ACC-00000006,FIN-000003,business,4852.05,USD,dormant,2025-02-04T04:41:15,2025-02-04T04:41:15,2026-06-29T14:46:10.588515
ACC-00000007,FIN-000004,savings,43608.59,USD,dormant,2025-08-11T03:46:53,2025-08-11T03:46:53,2026-06-29T14:46:10.588598
ACC-00000008,FIN-000004,savings,18159.32,USD,active,2024-02-28T19:07:40,2024-02-28T19:07:40,2026-06-29T14:46:10.588639
ACC-00000009,FIN-000005,savings,41356.82,USD,active,2025-03-06T12:35:04,2025-03-06T12:35:04,2026-06-29T14:46:10.588724
ACC-00000010,FIN-000006,premium,20404.47,USD,active,2025-08-23T11:22:19,2025-08-23T11:22:19,2026-06-29T14:46:10.588802
ACC-00000011,FIN-000006,current,34417.43,USD,active,2025-06-21T16:39:11,2025-06-21T16:39:11,2026-06-29T14:46:10.588829
ACC-00000012,FIN-000007,premium,25828.64,USD,active,2026-05-17T15:28:43,2026-05-17T15:28:43,2026-06-29T14:46:10.588910
ACC-00000013,FIN-000007,current,988.33,USD,active,2026-05-13T10:16:42,2026-05-13T10:16:42,2026-06-29T14:46:10.588933
ACC-00000014,FIN-000008,premium,46683.27,USD,active,2024-05-23T20:27:42,2024-05-23T20:27:42,2026-06-29T14:46:10.589001
